,f0,Time,RMS
0,10.0,0.0,0.0078039164654910564
1,326.12732,4.5351473922902495e-05,0.007809946779161692
2,326.12732,9.070294784580499e-05,0.0078110950998961926
3,326.42197,0.00013605442176870748,0.007811134215444326
4,326.42197,0.00018140589569160998,0.007811134681105614
5,326.42197,0.00022675736961451248,0.007811397779732943
6,326.42197,0.00027210884353741496,0.007814562879502773
7,326.42197,0.00031746031746031746,0.007821555249392986
8,326.42197,0.00036281179138321996,0.007824343629181385
9,326.42197,0.00040816326530612246,0.007825039327144623
10,326.42197,0.00045351473922902497,0.007833404466509819
11,326.42197,0.0004988662131519275,0.007843066938221455
12,326.71686,0.0005442176870748299,0.007846537977457047
13,326.71686,0.0005895691609977325,0.00784691609442234
14,326.71686,0.0006349206349206349,0.00784691609442234
15,326.71686,0.0006802721088435375,0.007846927270293236
16,326.71686,0.0007256235827664399,0.007848012261092663
17,326.71686,0.0007709750566893424,0.007853494957089424
18,326.71686,0.0008163265306122449,0.007859832607209682
19,326.71686,0.0008616780045351474,0.007860342040657997
20,327.01202,0.0009070294784580499,0.007863734848797321
21,327.01202,0.0009523809523809524,0.007873850874602795
22,327.01202,0.000997732426303855,0.007880853489041328
23,327.01202,0.0010430839002267575,0.007882419973611832
24,327.01202,0.0010884353741496598,0.007882480509579182
25,327.01202,0.0011337868480725624,0.007882489822804928
26,327.01202,0.001179138321995465,0.007882604375481606
27,327.30746,0.0012244897959183673,0.007885069586336613
28,327.30746,0.0012698412698412698,0.007891679182648659
29,327.30746,0.0013151927437641724,0.007895084097981453
30,327.30746,0.001360544217687075,0.00789537001401186
31,327.30746,0.0014058956916099773,0.007902740500867367
32,327.30746,0.0014512471655328798,0.007912686094641685
33,327.30746,0.0014965986394557824,0.00791676715016365
34,327.30746,0.0015419501133786847,0.00791733618825674
35,327.60318,0.0015873015873015873,0.007917345501482487
36,327.60318,0.0016326530612244899,0.007917353883385658
37,327.60318,0.0016780045351473924,0.007918164134025574
38,1284.6519,0.0017233560090702948,0.007922893390059471
39,1284.6519,0.0017687074829931973,0.007929245010018349
40,1284.6519,0.0018140589569160999,0.007930107414722443
41,1284.6519,0.0018594104308390022,0.007932666689157486
42,1284.6519,0.0019047619047619048,0.007942354306578636
43,1284.6519,0.0019501133786848073,0.0079500088468194
44,1284.6519,0.00199546485260771,0.007951976731419563
45,1284.6519,0.0020408163265306124,0.007952090352773666
46,1284.6519,0.002086167800453515,0.007952096872031689
47,1284.6519,0.002131519274376417,0.007952169515192509
48,1284.6519,0.0021768707482993197,0.007954263128340244
49,1284.6519,0.0022222222222222222,0.007960786111652851
50,1284.6519,0.0022675736961451248,0.007965106517076492
51,1284.6519,0.0023129251700680273,0.00796512421220541
52,1284.6519,0.00235827664399093,0.00797085091471672
53,1284.6519,0.0024036281179138324,0.007980331778526306
54,1284.6519,0.0024489795918367346,0.007984877564013004
55,1284.6519,0.002494331065759637,0.007985577918589115
56,1285.8124,0.0025396825396825397,0.007985583506524563
57,1285.8124,0.0025850340136054422,0.007985585369169712
58,1285.8124,0.002630385487528345,0.007986044511198997
59,1285.8124,0.0026757369614512473,0.007990013808012009
60,1285.8124,0.00272108843537415,0.007996656000614166
61,1285.8124,0.002766439909297052,0.007998395711183548
62,1285.8124,0.0028117913832199546,0.007999354973435402
63,1285.8124,0.002857142857142857,0.008005303330719471
64,1285.8124,0.0029024943310657597,0.00801012385636568
65,1286.9741,0.0029478458049886623,0.008011502213776112
66,1289.3005,0.002993197278911565,0.008011643774807453
67,1291.6312,0.0030385487528344674,0.008011644706130028
68,2754.2222,0.0030839002267573695,0.008011654019355774
69,2754.2222,0.003129251700680272,0.008012278005480766
70,2754.2222,0.0031746031746031746,0.008013972081243992
71,2754.2222,0.003219954648526077,0.008014511317014694
72,2754.2222,0.0032653061224489797,0.008014866150915623
73,2754.2222,0.0033106575963718823,0.008017114363610744
74,2754.2222,0.003356009070294785,0.008019203320145607
75,2754.2222,0.003401360544217687,0.008019905537366867
76,2754.2222,0.0034467120181405895,0.008019926957786083
77,2751.736,0.003492063492063492,0.008020048029720783
78,2751.736,0.0035374149659863946,0.008020327426493168
79,2751.736,0.003582766439909297,0.008020555600523949
80,2751.736,0.0036281179138321997,0.008020619861781597
81,2751.736,0.0036734693877551023,0.008020644076168537
82,2751.736,0.0037188208616780044,0.008020912297070026
83,2751.736,0.003764172335600907,0.008021168410778046
84,2751.736,0.0038095238095238095,0.008021203801035881
85,2749.2522,0.003854875283446712,0.008021215908229351
86,2749.2522,0.0039002267573696146,0.008021282963454723
87,2749.2522,0.003945578231292517,0.008021372370421886
88,2749.2522,0.00399092970521542,0.008021426387131214
89,0.0,0.004036281179138322,0.008021431043744087
90,0.0,0.004081632653061225,0.008021438494324684
91,0.0,0.004126984126984127,0.008021472953259945
92,0.0,0.00417233560090703,0.00802150834351778
93,0.0,0.004217687074829932,0.008021511137485504
94,0.0,0.004263038548752834,0.008021529763936996
95,0.0,0.004308390022675737,0.008021577261388302
96,0.0,0.004353741496598639,0.008021597750484943
97,0.0,0.004399092970521542,0.008021597750484943
98,0.0,0.0044444444444444444,0.00802160520106554
99,2746.7708,0.004489795918367347,0.008021633140742779
100,2746.7708,0.0045351473922902496,0.008021657355129719
101,2749.2522,0.004580498866213152,0.008021658286452293
102,2749.2522,0.004625850340136055,0.008021674118936062
103,2749.2522,0.004671201814058957,0.00802172627300024
104,2749.2522,0.00471655328798186,0.008021784014999866
105,2749.2522,0.004761904761904762,0.008021810092031956
106,2749.2522,0.004807256235827665,0.008021811954677105
107,2749.2522,0.004852607709750567,0.008021815679967403
108,2749.2522,0.004897959183673469,0.008021825924515724
109,2749.2522,0.004943310657596372,0.008021838031709194
110,2749.2522,0.004988662131519274,0.008021843619644642
111,2749.2522,0.005034013605442177,0.008021843619644642
112,2751.736,0.005079365079365079,0.008021851070225239
